 (Airport_Name, Location : PageRank) 
(Los Angeles Intl, United States : 0.0038148475761748285)
(Chicago Ohare Intl, United States : 0.0038050593876678986)
(Denver Intl, United States : 0.0036658534383592505)
(Heathrow, United Kingdom : 0.0031105300063766633)
(Charles De Gaulle, France : 0.003004224114056979)
(Capital Intl, China : 0.002966895644376068)
(Frankfurt Main, Germany : 0.0029309850640194253)
(Changi Intl, Singapore : 0.0028770925571977974)
(Hartsfield Jackson Atlanta Intl, United States : 0.002870975224860575)
(John F Kennedy Intl, United States : 0.0027112207887303127)
(Schiphol, Netherlands : 0.002689171981586774)
(Dallas Fort Worth Intl, United States : 0.0025355395916667645)
(Sydney Intl, Australia : 0.002478507335578562)
(Incheon Intl, South Korea : 0.00243911909130715)
(Lester B Pearson Intl, Canada : 0.002410965850258917)
(Dubai Intl, United Arab Emirates : 0.0023971222137593494)
(Domododevo, Russia : 0.0023671069762191913)
(Barcelona, Spain : 0.0023410788478118475)
(Pudong, China : 0.002340196491552493)
(Hong Kong Intl, Hong Kong : 0.0022151915680543328)
(Ataturk, Turkey : 0.002209245472227995)
(Fiumicino, Italy : 0.0020860569177503273)
(Gatwick, United Kingdom : 0.002040684879530014)
(Franz Josef Strauss, Germany : 0.002039932285718868)
(Suvarnabhumi Intl, Thailand : 0.002021557141541743)
(Miami Intl, United States : 0.0019906296991365913)
(Barajas, Spain : 0.0019572866598429627)
(San Francisco Intl, United States : 0.001955334252481492)
(Schwechat, Austria : 0.0019124021976756247)
(Narita Intl, Japan : 0.0018951296403866378)
(Kuala Lumpur Intl, Malaysia : 0.001872826273789929)
(George Bush Intercontinental, United States : 0.0018706579529798755)
(Licenciado Benito Juarez Intl, Mexico : 0.0018660917661521988)
(Seattle Tacoma Intl, United States : 0.0018450662472879688)
(Charlotte Douglas Intl, United States : 0.0018303266671984915)
(Indira Gandhi Intl, India : 0.0018209955875376836)
(Baiyun Intl, China : 0.0017986624293935087)
(Brisbane Intl, Australia : 0.0017979820453500595)
(Eldorado Intl, Colombia : 0.0017922981617652157)
(Pulkovo, Russia : 0.0017786748949215655)
(Minneapolis St Paul Intl, United States : 0.0017718120349572424)
(Mc Carran Intl, United States : 0.001741352748492065)
(Manchester, United Kingdom : 0.0017389132216651794)
(Dusseldorf, Germany : 0.001706842766806701)
(Ninoy Aquino Intl, Philippines : 0.0017011264505636605)
(Son Sant Joan, Spain : 0.0016986125661048461)
(Brussels Natl, Belgium : 0.0016775893422992392)
(Newark Liberty Intl, United States : 0.0016663645450277526)
(Guarulhos Gov Andre Franco Montouro, Brazil : 0.0016486913387611976)
(Shuangliu, China : 0.0016184715684357189)
(Wujiaba, China : 0.0015702086811315485)
(Chhatrapati Shivaji Intl, India : 0.0015674025112929573)
(Taoyuan Intl, Taiwan : 0.0015546978551441775)
(Orlando Intl, United States : 0.0015491434299820463)
(Zurich, Switzerland : 0.0015436652570309146)
(Kastrup, Denmark : 0.0015393949645732094)
(Detroit Metro Wayne Co, United States : 0.0015346474104775518)
(Abu Dhabi Intl, United Arab Emirates : 0.00152964375609717)
(Vancouver Intl, Canada : 0.0015081140169051935)
(Washington Dulles Intl, United States : 0.0015049653259280483)
(Philadelphia Intl, United States : 0.0015025992936855855)
(Soekarno Hatta Intl, Indonesia : 0.0014968380306644878)
(Phoenix Sky Harbor Intl, United States : 0.001492613541591249)
(Johannesburg Intl, South Africa : 0.001476291078214279)
(Melbourne Intl, Australia : 0.0014491441982557674)
(General Edward Lawrence Logan Intl, United States : 0.0014387790844901439)
(Sheremetyevo, Russia : 0.0014196620852966677)
(Aeroparque Jorge Newbery, Argentina : 0.0014164224619148851)
(Xianyang, China : 0.001414177705973675)
(Pierre Elliott Trudeau Intl, Canada : 0.001399994669294979)
(Fort Lauderdale Hollywood Intl, United States : 0.0013637697945662606)
(Gardermoen, Norway : 0.0013569874858650882)
(Ted Stevens Anchorage Intl, United States : 0.001356019039280874)
(Auckland Intl, New Zealand : 0.0013502505011900776)
(Orly, France : 0.0013319602677086685)
(Arlanda, Sweden : 0.0013100587897039435)
(Malpensa, Italy : 0.0013095953089025194)
(Tokyo Intl, Japan : 0.0012921264341263497)
(Jiangbei, China : 0.001289036883086893)
(Jorge Chavez Intl, Peru : 0.0012760358822818498)
(Lisboa, Portugal : 0.0012390545738987257)
(Xiaoshan, China : 0.001229866624184558)
(Bethel, United States : 0.001194903008210489)
(King Abdulaziz Intl, Saudi Arabia : 0.001194737750595853)
(Helsinki Vantaa, Finland : 0.0011920213982067667)
(Baoan Intl, China : 0.001180255100823386)
(Dublin, Ireland : 0.0011719961632439245)
(Tegel, Germany : 0.0011667488051077335)
(Presidente Juscelino Kubitschek, Brazil : 0.0011381695497353658)
(Eleftherios Venizelos Intl, Greece : 0.0011338557650145556)
(Jomo Kenyatta International, Kenya : 0.0011097092053593827)
(Honolulu Intl, United States : 0.0011015833118839685)
(Cairo Intl, Egypt : 0.001096254977321034)
(Gaoqi, China : 0.0010752974936083198)
(Hongqiao Intl, China : 0.0010749192049467685)
(Malaga, Spain : 0.0010717515528385919)
(Doha Intl, Qatar : 0.0010577629726999114)
(King Khaled Intl, Saudi Arabia : 0.0010442395175149534)
(Salt Lake City Intl, United States : 0.0010239553770481045)
(Cancun Intl, Mexico : 0.0010129275104548085)
(Bole Intl, Ethiopia : 0.0010027418604985584)
(Diwopu, China : 0.000994054633702525)
(Portland Intl, United States : 0.0009938881008986014)
(Baltimore Washington Intl, United States : 0.0009900633433842297)
(Perth Intl, Australia : 0.0009838730330316557)
(Huanghua, China : 0.0009835267321446134)
(Mehrabad Intl, Iran : 0.0009834222040333177)
(Liuting, China : 0.0009807404918951634)
(La Guardia, United States : 0.0009727661609786533)
(Chicago Midway Intl, United States : 0.0009700025120229686)
(Stansted, United Kingdom : 0.0009635535719779152)
(Tianhe, China : 0.0009630705960499002)
(Kansai, Japan : 0.0009563852989832205)
(Geneve Cointrin, Switzerland : 0.0009544407100298462)
(Calgary Intl, Canada : 0.0009422544865826908)
(Lukou, China : 0.0009388113332278943)
(Ruzyne, Czech Republic : 0.000937353281440948)
(Galeao Antonio Carlos Jobim, Brazil : 0.0009362834604241309)
(Port Moresby Jacksons Intl, Papua New Guinea : 0.0009354538119941355)
(Ibiza, Spain : 0.0009282232932836677)
(Tampa Intl, United States : 0.0009107889169750648)
(Ronald Reagan Washington Natl, United States : 0.0009084630438881305)
(Birmingham, United Kingdom : 0.0009039650349057128)
(Alicante, Spain : 0.0009020461431444982)
(Arturo Merino Benitez Intl, Chile : 0.0009002777380586768)
(Faa\\'a International, French Polynesia : 0.000899658909045071)
(Lambert St Louis Intl, United States : 0.0008970902457877433)
(Sabiha Gokcen, Turkey : 0.0008900280830104763)
(Venezia Tessera, Italy : 0.0008860265624723355)
(Stuttgart, Germany : 0.0008686789917122178)
(Cote D\\'Azur, France : 0.0008620465378286916)
(Hamburg, Germany : 0.0008554363758127726)
(Tocumen Intl, Panama : 0.0008353989506461594)
(Gran Canaria, Spain : 0.0008348819688742469)
(Honiara International, Solomon Islands : 0.0008342298737802402)
(Simon Bolivar Intl, Venezuela : 0.0008242613131476873)
(Saint Exupery, France : 0.0008224590043493583)
(San Diego Intl, United States : 0.0008138770903587935)
(Fairbanks Intl, United States : 0.0008134639097970406)
(Okecie, Poland : 0.0008130526022313994)
(Edinburgh, United Kingdom : 0.0008009703643094875)
(Netaji Subhash Chandra Bose Intl, India : 0.0007953603729960506)
(Xinzheng, China : 0.0007920288948410342)
(Nikos Kazantzakis, Greece : 0.0007880356871298894)
(Provence, France : 0.000779543235963117)
(Ben Gurion, Israel : 0.0007772543757940817)
(Viracopos, Brazil : 0.0007754645948602988)
(Tansonnhat Intl, Vietnam : 0.0007719768759025226)
(Bali Ngurah Rai, Indonesia : 0.0007626818413464269)
(Antalya, Turkey : 0.0007562917972416751)
(Zhoushuizi, China : 0.0007543961331678752)
