 (Airport_Name, Location : PageRank) 
(Denver Intl, United States : 0.00209403101783709)
(Chicago Ohare Intl, United States : 0.0018042376834090886)
(Domododevo, Russia : 0.0017555824109963434)
(Sydney Intl, Australia : 0.0015910499207953638)
(Dallas Fort Worth Intl, United States : 0.0015821675356601013)
(Hartsfield Jackson Atlanta Intl, United States : 0.001559153917787566)
(Los Angeles Intl, United States : 0.0015483206449909352)
(Eldorado Intl, Colombia : 0.0015079057202116118)
(Aeroparque Jorge Newbery, Argentina : 0.0013770360046520143)
(Licenciado Benito Juarez Intl, Mexico : 0.001306870254821556)
(Ninoy Aquino Intl, Philippines : 0.001261016357072887)
(Capital Intl, China : 0.0012579213399991432)
(Tokyo Intl, Japan : 0.0012257783103992062)
(Ataturk, Turkey : 0.0011847657802477084)
(Johannesburg Intl, South Africa : 0.0011599326920577228)
(Minneapolis St Paul Intl, United States : 0.0011451137219296245)
(Charlotte Douglas Intl, United States : 0.0010588224455822738)
(Brisbane Intl, Australia : 0.0010547691090719725)
(Indira Gandhi Intl, India : 0.00104378648527769)
(Changi Intl, Singapore : 0.0010381199785405282)
(Lester B Pearson Intl, Canada : 0.0010112853379231738)
(Vancouver Intl, Canada : 0.0010094100127214464)
(George Bush Intercontinental, United States : 0.0010082860574695796)
(Pulkovo, Russia : 0.0009806781626955758)
(Schiphol, Netherlands : 0.0009540806985175777)
(Dubai Intl, United Arab Emirates : 0.0009312221784907312)
(Charles De Gaulle, France : 0.0009268827737368759)
(Chhatrapati Shivaji Intl, India : 0.0009218582285531151)
(Mehrabad Intl, Iran : 0.0009204233834473977)
(Frankfurt Main, Germany : 0.0009113023867297255)
(Pudong, China : 0.0009071321819741472)
(Auckland Intl, New Zealand : 0.0009047875931817545)
(Helsinki Vantaa, Finland : 0.0008996080687543877)
(Jorge Chavez Intl, Peru : 0.0008928221706325812)
(Barcelona, Spain : 0.0008725538880341019)
(Incheon Intl, South Korea : 0.0008724883151036177)
(Heathrow, United Kingdom : 0.0008660132724839226)
(Ted Stevens Anchorage Intl, United States : 0.0008625727130137887)
(John F Kennedy Intl, United States : 0.0008625275966714295)
(Suvarnabhumi Intl, Thailand : 0.0008580235378315491)
(Don Muang Intl, Thailand : 0.0008490552988054255)
(Wujiaba, China : 0.0008281292542620061)
(Soekarno Hatta Intl, Indonesia : 0.0008251744089172915)
(Detroit Metro Wayne Co, United States : 0.0008248541897203596)
(Seattle Tacoma Intl, United States : 0.0008219966933672154)
(Gardermoen, Norway : 0.0008214450690354095)
(Orly, France : 0.0008202807461748031)
(Bethel, United States : 0.0008196070948403431)
(Arlanda, Sweden : 0.0008187119862649359)
(Miami Intl, United States : 0.0008085215036539212)
(San Francisco Intl, United States : 0.0008005885150043599)
(Kuala Lumpur Intl, Malaysia : 0.0007818629375243588)
(Faa\\'a International, French Polynesia : 0.0007805818078313959)
(King Abdulaziz Intl, Saudi Arabia : 0.0007654459049120308)
(Gatwick, United Kingdom : 0.0007570956552794245)
(Shuangliu, China : 0.0007558012321711437)
(Baiyun Intl, China : 0.0007509309503504036)
(Washington Dulles Intl, United States : 0.0007442468009946418)
(Son Sant Joan, Spain : 0.0007407053008502193)
(General Edward Lawrence Logan Intl, United States : 0.0007370162345630255)
(Melbourne Intl, Australia : 0.0007368833359053382)
(Mc Carran Intl, United States : 0.0007366005906215721)
(Fiumicino, Italy : 0.0007291114910021093)
(Eleftherios Venizelos Intl, Greece : 0.0007239143238889878)
(Salt Lake City Intl, United States : 0.0007208972780138459)
(Viracopos, Brazil : 0.0007200283251132983)
(Schwechat, Austria : 0.000719480708322928)
(King Khaled Intl, Saudi Arabia : 0.0007134727836414742)
(Honiara International, Solomon Islands : 0.0007115640683633414)
(Barajas, Spain : 0.0007083833925363073)
(Philadelphia Intl, United States : 0.0006980438654283345)
(Port Moresby Jacksons Intl, Papua New Guinea : 0.000692904643969431)
(Pierre Elliott Trudeau Intl, Canada : 0.0006917337952033946)
(Hong Kong Intl, Hong Kong : 0.000685628989005098)
(Bole Intl, Ethiopia : 0.0006847074212950549)
(Sheremetyevo, Russia : 0.0006833023191201426)
(Fairbanks Intl, United States : 0.0006830317646766778)
(Diwopu, China : 0.000680542308938499)
(Guarulhos Gov Andre Franco Montouro, Brazil : 0.0006799084091260798)
(Perth Intl, Australia : 0.0006697055601240327)
(Houari Boumediene, Algeria : 0.0006674913894227036)
(Franz Josef Strauss, Germany : 0.0006668626991716294)
(Fort Lauderdale Hollywood Intl, United States : 0.0006631468742273345)
(Simon Bolivar Intl, Venezuela : 0.000661409518351694)
(Jomo Kenyatta International, Kenya : 0.000660838263497977)
(Phoenix Sky Harbor Intl, United States : 0.0006594617663203238)
(Sabiha Gokcen, Turkey : 0.0006529893856220665)
(Kastrup, Denmark : 0.0006489853742987419)
(Presidente Juscelino Kubitschek, Brazil : 0.000629215842282836)
(Xianyang, China : 0.0006205416949660967)
(Manchester, United Kingdom : 0.0006178765971153919)
(Brussels Natl, Belgium : 0.000617728348188593)
(Orlando Intl, United States : 0.0006042065278541925)
(Tribhuvan Intl, Nepal : 0.000600773433743396)
(Lambert St Louis Intl, United States : 0.000598719801285159)
(Juneau Intl, United States : 0.0005963035531125179)
(Calgary Intl, Canada : 0.0005961777032388631)
(Narita Intl, Japan : 0.0005865591511818852)
(Vnukovo, Russia : 0.0005862327587880093)
(Cairo Intl, Egypt : 0.0005763269830637957)
(Newark Liberty Intl, United States : 0.0005740454928799043)
(Dusseldorf, Germany : 0.00056938236252335)
(Honolulu Intl, United States : 0.0005616325879584672)
(Adelaide Intl, Australia : 0.0005567901638295025)
(Lynden Pindling Intl, Bahamas : 0.0005541680795492918)
(Tansonnhat Intl, Vietnam : 0.0005498206335988841)
(Cairns Intl, Australia : 0.000544792620732112)
(Mashhad, Iran : 0.000544548292365174)
(Eduardo Gomes Intl, Brazil : 0.0005435429734080487)
(Jose Marti Intl, Cuba : 0.0005433780687599163)
(Luanda 4 De Fevereiro, Angola : 0.0005403144452251361)
(Netaji Subhash Chandra Bose Intl, India : 0.0005377993342852528)
(Hasanuddin, Indonesia : 0.000537322095442314)
(Taoyuan Intl, Taiwan : 0.0005353933469923743)
